redirects,not_indexed_by_google,certificate_age,email_submission,request_url_percentage,url_anchor_percentage,meta_percentage,script_percentage,link_percentage,use_iframe,has_suspicious_port,external_favicons,TTL,ip_address_count,check_sfh,count_domain_occurrences,page_rank_decimal,is_malicious
2,0,-348,0,0,0,0,0.193548387,0.806451613,1,1,2,30,3,0,0,5.84,0
1,0,-47,0,0,0.055555556,0,0.230769231,0.769230769,1,1,3,28,1,0.5,0,5.12,0
0,0,-266,0,0,0,0,0.523809524,0.476190476,0,1,1,30,3,0.5,22,5.37,0
1,0,-333,0,0,0,0,0.013888889,0.986111111,0,0,1,29,1,0,3,4.79,0
1,0,0,0,1,0,0,0,0,0,1,0,30,1,0,0,0,1
2,0,0,0,0,0,0,0.64,0.36,0,1,1,30,2,0,16,5.37,0
0,0,0,0,0,0.88,0,0.257142857,0.742857143,1,0,3,30,1,0,57,5.24,0
0,0,-298,0,0,0.628676471,0,0.0625,0.9375,0,1,1,30,4,1,83,5.14,0
1,0,0,0,0,0,0,0.25,0.75,1,1,0,30,3,0,4,8.17,1
6,0,0,0,0,0,0,0.590909091,0.409090909,1,1,2,30,1,0,1,4.5,0
1,0,0,0,0,0,0,0.25,0.75,1,1,0,29,3,0,4,8.17,1
2,0,0,0,0,0,0,0.142857143,0.857142857,1,1,5,30,4,1,8,4.61,0
1,0,-282,0,0,0.220338983,0,0.41509434,0.58490566,1,1,1,30,3,0,232,5,0
0,0,-31,0,0,0.032608696,0,0.326530612,0.673469388,0,1,0,30,1,0,178,4.4,0
1,0,0,0,0,0,0,0.5,0.5,0,1,0,30,2,0.5,0,2.47,1
1,0,0,0,0,0,0,0.305084746,0.694915254,0,0,0,30,1,0,6,5.45,0
3,0,0,0,0,0,0,0.5,0.5,1,1,2,27,2,0,0,5.73,0
0,0,0,0,1,0,0,0.5,0.5,0,1,1,30,1,0,1,1.58,1
0,0,-131,0,0,0,0,0.425,0.575,1,1,2,30,1,0.5,388,5.29,0
0,0,-81,0,0,0.048192771,0,0.409836066,0.590163934,0,0,0,29,1,0.5,223,5.04,0
0,0,0,0,1,0,0,0.333333333,0.666666667,0,1,1,30,1,0,0,2.12,1
1,0,-236,0,0,0.136,0,0.523809524,0.476190476,1,1,0,30,3,0.5,76,5.01,0
0,0,0,0,0,0,0,0,1,0,0,0,30,1,0,3,0,1
0,0,-70,0,0,0.403846154,0,0.65,0.35,1,1,2,30,2,0,4,5.27,0
1,0,-243,0,0,0,0,0.375,0.625,0,1,1,30,1,1,2,5.65,0
0,0,0,0,0,0.039784221,0,0.535714286,0.464285714,0,1,0,30,2,0,1591,3.23,0
